query name,rating_hottest,path to metadata
Top 1000 Movies Dataset,1,omkarborikar/top-10000-popular-movies
Top 1000 Movies Dataset,2,ritiksharma07/imdb-top-1000-movies-dataset
Top 1000 Movies Dataset,3,inductiveanks/top-1000-imdb-movies-dataset
Top 1000 Movies Dataset,4,umangdobariya1436/top-rated-movies-dataset
Top 1000 Movies Dataset,5,sanjeetsinghnaik/top-1000-highest-grossing-movies
Top 1000 Movies Dataset,6,harshitshankhdhar/imdb-dataset-of-top-1000-movies-and-tv-shows
Top 1000 Movies Dataset,7,arthurchongg/imdb-top-1000-movies
Top 1000 Movies Dataset,8,preetviradiya/imdb-movies-ratings-details
Top 1000 Movies Dataset,9,mayankray/imdb-top-1000-movies-dataset
Top 1000 Movies Dataset,10,akashkotal/imbd-top-1000-with-description
Top 1000 Movies Dataset,11,anujsingh098/top-1000-imdb-movies
Top 1000 Movies Dataset,12,hrishabhtiwari/imdb-top-1000-movies-dataset
Top 1000 Movies Dataset,13,kuchhbhi/tmdm-top-rated-movies
Top 1000 Movies Dataset,14,moazeldsokyx/imdb-top-10000-movies-dataset
Top 1000 Movies Dataset,15,milanvaddoriya/imdb-movie-rating
Top 1000 Movies Dataset,16,asaniczka/movie-identification-dataset-800-movies
Top 1000 Movies Dataset,17,omarhanyy/imdb-top-1000
Top 1000 Movies Dataset,18,irayane/imdbv1
Top 1000 Movies Dataset,19,adityaghuse/imdb-top-1000
Top 1000 Movies Dataset,20,ssivasantosh/imdb-in-top-1000-movies-feb-2022
clothing reviews,1,nicapotato/womens-ecommerce-clothing-reviews
mental health,1,imtkaggleteam/mental-health
mental health,2,shariful07/student-mental-health
mental health,3,osmi/mental-health-in-tech-survey
mental health,4,bhavikjikadara/mental-health-dataset
mental health,5,programmerrdai/mental-health-dataset
mental health,6,reihanenamdari/mental-health-corpus
mental health,7,catherinerasgaitis/mxmh-survey-results
mental health,8,twinkle0705/mental-health-and-suicide-rates
mental health,9,elvis23/mental-health-conversational-data
mental health,10,narendrageek/mental-health-faq-for-chatbot
mental health,11,anth7310/mental-health-in-the-tech-industry
mental health,12,thedevastator/medical-student-mental-health
mental health,13,divaniazzahra/mental-health-dataset
mental health,14,thedevastator/nlp-mental-health-conversations
mental health,15,thedevastator/uncover-global-trends-in-mental-health-disorder
mental health,16,amirhoseinmousavian/mental-health
mental health,17,hamjashaikh/mental-health-detection-dataset
mental health,18,osmi/mental-health-in-tech-2016
mental health,19,jiscecseaiml/mental-health-dataset
mental health,20,michellevp/predicting-anxiety-in-mental-health-data
dataset related to mental health,1,narendrageek/mental-health-faq-for-chatbot
dataset related to mental health,2,bhavikjikadara/mental-health-dataset
dataset related to mental health,3,thedevastator/uncover-global-trends-in-mental-health-disorder
dataset related to mental health,4,kreeshrajani/human-stress-prediction
dataset related to mental health,5,thedevastator/nlp-mental-health-conversations
dataset related to mental health,6,rifkaregmi/usa-mental-health-dataset
dataset related to mental health,7,michellevp/predicting-anxiety-in-mental-health-data
dataset related to mental health,8,thedevastator/medical-student-mental-health
dataset related to mental health,9,cdc/national-health-and-nutrition-examination-survey
dataset related to mental health,10,aunanya875/suicidal-tweet-detection-dataset
dataset related to mental health,11,mirzahasnine/heart-disease-dataset
dataset related to mental health,12,jiscecseaiml/mental-health-dataset
dataset related to mental health,13,luckybro/mental-health-search-term
dataset related to mental health,14,bhaveshmisra/heart-disease-indicators
dataset related to mental health,15,mdismielhossenabir/psychosocial-dimensions-of-student-life
dataset related to mental health,16,emirhanai/city-happiness-index-2024
dataset related to mental health,17,michellevp/mental-health-dataset-bipolar
dataset related to mental health,18,thedevastator/amod-mental-health-counseling-conversations-data
dataset related to mental health,19,thedevastator/phq-9-depression-assessment
dataset related to mental health,20,akashnath29/lung-cancer-dataset
emotion detection and sentiment classification,1,pashupatigupta/emotion-detection-from-text
emotion detection and sentiment classification,2,williamscott701/memotion-dataset-7k
emotion detection and sentiment classification,3,arashnic/7-nlp-tasks-with-tweets
emotion detection and sentiment classification,4,prajwalkanade/sentiment-analysis-word-lists-dataset
emotion detection and sentiment classification,5,mostafanofal/two-million-rows-egyptian-datasets
emotion detection and sentiment classification,6,subhajournal/tweet-sentiment-and-emotion-analysis
emotion detection and sentiment classification,7,thedevastator/tweeteval-a-multi-task-classification-benchmark
emotion detection and sentiment classification,8,anil1055/turkish-tweet-dataset
emotion detection,1,ananthu017/emotion-detection-fer
emotion detection,2,pashupatigupta/emotion-detection-from-text
emotion detection,3,tapakah68/facial-emotion-recognition
emotion detection,4,jayeshrohansingh/emotion-detection-dataset
emotion detection,5,simaanjali/emotion-analysis-based-on-text
emotion detection,6,mansourehk/shemo-persian-speech-emotion-detection-database
emotion detection,7,abhisheksingh016/machine-model-for-emotion-detection
emotion detection,8,jarvis11/text-dataset-for-text-emotion-detection
emotion detection,9,ritika0111/emotion-detection-dataset
emotion detection,10,maneesh99/emotionhappy-detection-image-dataset
emotion detection,11,bravo03/facial-detection-keypoints
emotion detection,12,suso172/arabic-natural-audio-dataset
emotion detection,13,a13x10/basic-arabic-vocal-emotions-dataset
emotion detection,14,anil1055/turkish-tweet-dataset
emotion detection,15,amitpant7/nepali-celeb-localized-face-dataset
emotion detection,16,rohitzaman/gender-age-and-emotion-detection-from-voice
emotion detection,17,somnath796/detect-emotions-of-your-favorite-toons
emotion detection,18,fardinrangrezz/emotion-detection
emotion detection,19,tapakah68/emotions-on-audio-dataset
emotion detection,20,praneshchowdhury/discussion-group-message-whats-app
twitter sentiment classification,1,kazanova/sentiment140
twitter sentiment classification,2,jp797498e/twitter-entity-sentiment-analysis
twitter sentiment classification,3,nelgiriyewithana/emotions
twitter sentiment classification,4,yasserh/twitter-tweets-sentiment-dataset
twitter sentiment classification,5,infamouscoder/mental-health-social-media
twitter sentiment classification,6,augustop/portuguese-tweets-for-sentiment-analysis
twitter sentiment classification,7,paakhim10/tweets-and-engagement-metrics
twitter sentiment classification,8,ashkhagan/smile-twitter-emotion-dataset
twitter sentiment classification,9,arunavakrchakraborty/covid19-twitter-dataset
twitter sentiment classification,10,thedevastator/hate-speech-and-offensive-language-detection
twitter sentiment classification,11,saurabhshahane/twitter-sentiment-dataset
twitter sentiment classification,12,williamscott701/memotion-dataset-7k
twitter sentiment classification,13,raj713335/twittesentimentanalysis
twitter sentiment classification,14,borhanitrash/twitter-financial-news-sentiment-dataset
twitter sentiment classification,15,bhavikjikadara/emotions-dataset
twitter sentiment classification,16,arashnic/7-nlp-tasks-with-tweets
twitter sentiment classification,17,datatattle/covid-19-nlp-text-classification
twitter sentiment classification,18,seriousran/appletwittersentimenttexts
twitter sentiment classification,19,farisai/twitter-black-panther
twitter sentiment classification,20,cosmos98/twitter-and-reddit-sentimental-analysis-dataset
traffic congestion dataset,1,fedesoriano/traffic-prediction-dataset
traffic congestion dataset,2,hasibullahaman/traffic-prediction-dataset
traffic congestion dataset,3,yusufberksardoan/traffic-detection-project
traffic congestion dataset,4,stoney71/new-york-city-transport-statistics
traffic congestion dataset,5,hmavrodiev/london-bike-sharing-dataset
traffic congestion dataset,6,sreekargv/bike-rentals
